Commodity Name,City Name,Type,Package,Weight,Variety,Sub Variety,Grade,Q,Year,Month,Date,Low Price,High Price,,Mostly Low,Mostly High,Origin,Distance,Rate,Income,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ATLANTA,,24 inch bins,466,HOWDEN TYPE,,,1,2016,9,9/24/16,140,154.75,147.375,140,154.75,MICHIGAN,1178,0.37,43026,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,466,HOWDEN TYPE,,,1,2016,9,9/24/16,145,154.75,149.875,145,154.75,MICHIGAN,1178,0.37,43026,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,466,HOWDEN TYPE,,,1,2016,9,9/24/16,150,154.75,152.375,150,154.75,MICHIGAN,1178,0.37,43026,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,533,HOWDEN TYPE,,,1,2016,9,9/24/16,150,150,150,150,150,MICHIGAN,1178,0.37,43026,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,533,PIE TYPE,,,1,2016,9,9/24/16,135,135,135,135,135,NORTH CAROLINA,540,0.37,43026,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,800,PIE TYPE,,,1,2016,9,9/24/16,210,286,248,210,286,MICHIGAN,1178,0.37,43026,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,HOWDEN TYPE,,,1,2016,9,9/24/16,160,160,160,160,160,DELAWARE,146,0.37,47168,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,HOWDEN TYPE,,,1,2016,9,9/24/16,160,160,160,160,160,VIRGINIA,321,0.37,47168,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,170,165,160,170,MARYLAND,39,0.37,47168,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,160,160,160,160,PENNSYLVANIA,283,0.37,47168,,lge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,FAIRYTALE,,,1,2016,9,9/24/16,250,260,255,250,260,MARYLAND,39,0.37,47168,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,FAIRYTALE,,,1,2016,9,9/24/16,250,260,255,250,260,VIRGINIA,321,0.37,47168,,xlge,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,45,PIE TYPE,,,1,2016,9,9/24/16,15,15,15,15,15,DELAWARE,146,0.37,47168,,med,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1 1/9 bushel cartons,45,PIE TYPE,,,1,2016,9,9/24/16,18,18,18,18,18,DELAWARE,146,0.37,47168,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,533,PIE TYPE,,,1,2016,9,9/24/16,160,160,160,160,160,VIRGINIA,321,0.37,47168,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,BIG MACK TYPE,,,1,2016,9,9/24/16,50,60,55,50,60,MARYLAND,39,0.37,47168,,,WHITE,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,BIG MACK TYPE,,,1,2016,9,9/24/16,50,60,55,50,60,MARYLAND,39,0.37,47168,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,24 inch bins,466,BIG MACK TYPE,,,1,2016,9,9/24/16,50,60,55,50,60,VIRGINIA,321,0.37,47168,,,,,EACH,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,20,MINIATURE,FLAT TYPE,,1,2016,9,9/24/16,18,18,18,18,18,MARYLAND,39,0.37,47168,,sml,,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,20,MINIATURE,FLAT TYPE,,1,2016,9,9/24/16,15,15,15,15,15,MARYLAND,39,0.37,47168,,sml,WHITE,,,,,,,,N,
PUMPKINS,BALTIMORE,,1/2 bushel cartons,20,MINIATURE,ROUND TYPE,,1,2016,9,9/24/16,15,15,15,15,15,MARYLAND,39,0.37,47168,,sml,,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,200,180,165,165,CANADA,2935,0.37,56814,QUEBEC,exjbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,200,180,165,165,CANADA,2935,0.37,56814,QUEBEC,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,200,180,165,165,CANADA,2935,0.37,56814,QUEBEC,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,200,180,165,165,CANADA,2935,0.37,56814,ONTARIO,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,180,170,165,165,CANADA,2935,0.37,56814,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,160,180,170,160,165,CANADA,2935,0.37,56814,QUEBEC,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,140,160,150,150,160,CANADA,2935,0.37,56814,QUEBEC,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,140,160,150,150,150,CANADA,2935,0.37,56814,QUEBEC,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,800,HOWDEN TYPE,,,1,2016,9,9/24/16,140,160,150,140,140,CANADA,2935,0.37,56814,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,200,225,212.5,225,225,MASSACHUSETTS,27,0.37,56814,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,180,225,202.5,200,200,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,180,225,202.5,200,200,MASSACHUSETTS,27,0.1,56814,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,180,225,202.5,180,200,MASSACHUSETTS,27,0.37,56814,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,180,225,202.5,180,190,MASSACHUSETTS,27,0.37,56814,,med,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,800,HOWDEN TYPE,,,1,2016,9,9/24/16,180,225,202.5,180,180,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,170,180,175,180,180,MICHIGAN,1198,0.37,56814,,jbo,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,170,180,175,175,180,MICHIGAN,1198,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,140,160,150,150,150,PENNSYLVANIA,526,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,140,160,150,150,150,PENNSYLVANIA,526,0.37,56814,,lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,CINDERELLA,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,CINDERELLA,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,WHITE,,,,,,,,N,
PUMPKINS,BOSTON,,1/2 bushel cartons,20,FAIRYTALE,,,1,2016,9,9/24/16,15,16,15.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,FAIRYTALE,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,WHITE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,FAIRYTALE,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,1 1/9 bushel crates,45,PIE TYPE,,,1,2016,9,9/24/16,15,16,15.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,1 1/9 bushel cartons,45,PIE TYPE,,,1,2016,9,9/24/16,15,16,15.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,533,PIE TYPE,,,1,2016,9,9/24/16,175,180,177.5,175,175,CANADA,2935,0.37,56814,ONTARIO,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,533,PIE TYPE,,,1,2016,9,9/24/16,170,180,175,175,175,PENNSYLVANIA,526,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,800,PIE TYPE,,,1,2016,9,9/24/16,170,220,195,210,220,CANADA,2935,0.37,56814,QUEBEC,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,PIE TYPE,,,1,2016,9,9/24/16,250,300,275,275,275,MASSACHUSETTS,27,0.37,56814,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,800,PIE TYPE,,,1,2016,9,9/24/16,200,220,210,220,220,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,PIE TYPE,,,1,2016,9,9/24/16,260,280,270,270,270,MICHIGAN,1198,0.37,56814,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,700,PIE TYPE,,,1,2016,9,9/24/16,180,225,202.5,200,225,PENNSYLVANIA,526,0.37,56814,,med-lge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,36 inch bins,800,PIE TYPE,,,1,2016,9,9/24/16,180,225,202.5,180,225,PENNSYLVANIA,526,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,BLUE TYPE,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,KNUCKLE HEAD,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,24 inch bins,466,BIG MACK TYPE,,,1,2016,9,9/24/16,260,285,272.5,285,285,MASSACHUSETTS,27,0.37,56814,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,1/2 bushel cartons,20,MINIATURE,FLAT TYPE,,1,2016,9,9/24/16,15,18,16.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,WHITE,,,,,,,,N,
PUMPKINS,BOSTON,,1/2 bushel cartons,20,MINIATURE,FLAT TYPE,,1,2016,9,9/24/16,15,18,16.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,BOSTON,,1/2 bushel cartons,20,MINIATURE,ROUND TYPE,,1,2016,9,9/24/16,15,18,16.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,WHITE,,,,,,,,N,
PUMPKINS,BOSTON,,1/2 bushel cartons,20,MINIATURE,ROUND TYPE,,1,2016,9,9/24/16,15,18,16.5,15,15,MASSACHUSETTS,27,0.37,56814,,sml,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,135,135,135,135,135,ILLINOIS,251,0.37,47242,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,700,HOWDEN TYPE,,,1,2016,9,9/24/16,130,130,130,130,130,MICHIGAN,453,0.37,47242,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,700,HOWDEN WHITE TYPE,,,1,2016,9,9/24/16,150,150,150,150,150,ILLINOIS,251,0.37,47242,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,700,FAIRYTALE,,,1,2016,9,9/24/16,200,200,200,200,200,ILLINOIS,251,0.37,47242,,med,,,,,,,,,N,
PUMPKINS,CHICAGO,,1 1/9 bushel cartons,45,PIE TYPE,,,1,2016,9,9/24/16,17,17,17,17,17,ILLINOIS,251,0.37,47242,,med,,,,,,,,,N,
